gadget,product,sku,variant title,action
accessory,Camera Rings For Samsung Models,CR-SS24-Slv,Samsung Galaxy S24 / Silver,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Camera Rings For Samsung Models,CR-SS24U-Gld,Samsung Galaxy S24 Ultra / Gold,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Camera Rings For Samsung Models,CR-SS24-Blk,Samsung Galaxy S24 / Black,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Camera Rings For Samsung Models,CR-SS25U-Gry,Samsung Galaxy S25 Ultra / Gray,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Camera Rings For Samsung Models,CR-SS24U-Gry,Samsung Galaxy S24 Ultra / Gray,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Camera Rings For Samsung Models,CR-SS23-Slv,Samsung Galaxy S23 / Silver,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,"Cyber Charger Tesla Model - 3 in 1 Wireless Charger For Phone , Airpods and Apple Watch",Tesla,,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Cover & Case for Samsung Models,WM-SS25U-DT,Samsung Galaxy S25 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Cover & Case for Samsung Models,WM-SS23-DT,Samsung Galaxy S23,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Cover & Case for Samsung Models,WM-SS23FE-DT,Samsung Galaxy S23 FE,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Cover & Case for Samsung Models,WM-SS24U-DT,Samsung Galaxy S24 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Cover & Case for Samsung Models,WM-SS24-DT,Samsung Galaxy S24/25,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Cover & Case for Samsung Models,WM-SS25E-DT,Samsung Galaxy S25 Edge,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Cover & Case for Samsung Models,WM-SS23U-DT,Samsung Galaxy S23 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Cover & Case for Samsung Models,WM-SS24FE-DT,Samsung Galaxy S24 FE,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPnXR-DT,iPhone XR,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i14-DT,iPhone 14,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i11Pro-DT,iPhone 11 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i15PM-DT,iPhone 15 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-iph7/8P-DT,iPhone 7/8P,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPn11-DT,iPhone 11,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i12PM-DT,iPhone 12 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16Pls-DT,iPhone 16 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i13-DT,iPhone 13,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPhn7/8G-DT,iPhone 7/8G,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16-DT,iPhone 16,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16Pro-DT,iPhone 16 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i15Pro-DT,iPhone 15 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-iXSM-DT,iPhone XS Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16E-DT,iPhone 16E,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i12Pro-DT,iPhone 12 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16PM-DT,iPhone 16 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i14Pro-DT,iPhone 14 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i15-DT,iPhone 15,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPnX-DT,iPhone X,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i14Pls-DT,iPhone 14 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i12-DT,iPhone 12,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i15Pls-DT,iPhone 15 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i14PM-DT,iPhone 14 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPnXS-DT,iPhone XS,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i13Mini-DT,iPhone 13 Mini,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i11PM-DT,iPhone 11 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i13Pro-DT,iPhone 13 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i12Mini-DT,iPhone 12 Mini,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Desert Titanium Magsafe Cover & Case for iPhone (All Models),WM-i13PM-DT,iPhone 13 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,EVM 1TB M.2 NVMe (2230) Internal SSD - PCIe Gen 3x4 - Compatible With Magneto X & Pro - 5 Years Warranty,EVM-1TB,Default Title,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,EVM 512GB M.2 NVMe (2230) Internal SSD - PCIe Gen 3x4 - Compatible With Magneto X & Pro - 5 Years Warranty,EVM-512gb,Default Title,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Magneto Pro Type-C Multi-Functional Hub With M.2 NVME Support,m-pro-1,Only Magneto Pro / Standard 15 Days Warranty / Prepaid - Get 200 Rs OFF - Use Code PRO200,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Magneto Pro Type-C Multi-Functional Hub With M.2 NVME Support,m-pro-2,Only Magneto Pro / 6 Month Pro Warranty (₹500 Extra) / Prepaid - Get 200 Rs OFF - Use Code PRO200,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Magneto X Type-C SSD Enclosure With M.2 NVME Support Upto 4TB,m-x-15D,Magneto Device (Without SSD) / 15 Day Replacement,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Magneto X Type-C SSD Enclosure With M.2 NVME Support Upto 4TB,m-x-6M,Magneto Device (Without SSD) / 6 Month Warranty,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Cover & Case for Samsung Models,WM-SS25U-NT,Samsung Galaxy S25 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Cover & Case for Samsung Models,WM-SS23U-NT,Samsung Galaxy S23 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Cover & Case for Samsung Models,WM-SS24U-NT,Samsung Galaxy S24 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Cover & Case for Samsung Models,WM-SS24-NT,Samsung Galaxy S24/25,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Cover & Case for Samsung Models,WM-SS23FE-NT,Samsung Galaxy S23 FE,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Cover & Case for Samsung Models,WM-SS23-NT,Samsung Galaxy S23,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Cover & Case for Samsung Models,WM-SS24FE-NT,Samsung Galaxy S24 FE,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Cover & Case for Samsung Models,WM-SS25E-NT,Samsung Galaxy S25 Edge,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16PM-NT,iPhone 16 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPnXR-NT,iPhone XR,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i15-NT,iPhone 15,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i14Pro-NT,iPhone 14 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i14PM-NT,iPhone 14 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPnXS-NT,iPhone XS,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i14-NT,iPhone 14,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i11PM-NT,iPhone 11 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i14Pls-NT,iPhone 14 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i15PM-NT,iPhone 15 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16E-NT,iPhone 16E,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i12Mini-NT,iPhone 12 Mini,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPhn7/8G-NT,iPhone 7/8G,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i15Pro-NT,iPhone 15 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i13-NT,iPhone 13,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPn11-NT,iPhone 11,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i13Mini-NT,iPhone 13 Mini,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-iph7/8P-NT,iPhone 7/8P,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i12PM-NT,iPhone 12 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i13Pro-NT,iPhone 13 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-iXSM-NT,iPhone XS Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16Pls-NT,iPhone 16 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i12-NT,iPhone 12,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16Pro-NT,iPhone 16 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i13PM-NT,iPhone 13 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i12Pro-NT,iPhone 12 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i16-NT,iPhone 16,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i15Pls-NT,iPhone 15 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-i11Pro-NT,iPhone 11 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Natural Titanium Magsafe Cover & Case for iPhone (All Models),WM-iPnX-NT,iPhone X,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Cover & Case for Samsung Models,WM-SS23FE-NB,Samsung Galaxy S23 FE,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Cover & Case for Samsung Models,WM-SS23-NB,Samsung Galaxy S23,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Cover & Case for Samsung Models,WM-SS24FE-NB,Samsung Galaxy S24 FE,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Cover & Case for Samsung Models,WM-SS25E-NB,Samsung Galaxy S25 Edge,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Cover & Case for Samsung Models,WM-SS24-NB,Samsung Galaxy S24/25,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Cover & Case for Samsung Models,WM-SS25U-NB,Samsung Galaxy S25 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Cover & Case for Samsung Models,WM-SS24U-NB,Samsung Galaxy S24 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Cover & Case for Samsung Models,WM-SS23U-NB,Samsung Galaxy S23 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i14Pro-NB,iPhone 14 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i11Pro-NB,iPhone 11 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i13PM-NB,iPhone 13 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i16-NB,iPhone 16,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i14Pls-NB,iPhone 14 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i15PM-NB,iPhone 15 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i16Pls-NB,iPhone 16 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i12Mini-NB,iPhone 12 Mini,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i15-NB,iPhone 15,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i13-NB,iPhone 13,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i13Pro-NB,iPhone 13 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i15Pro-NB,iPhone 15 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i16E-NB,iPhone 16E,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i16Pro-NB,iPhone 16 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i15Pls-NB,iPhone 15 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-iXSM-NB,iPhone XS Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-iPnXS-NB,iPhone XS,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i12Pro-NB,iPhone 12 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-iPn11-NB,iPhone 11,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i12-NB,iPhone 12,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i16PM-NB,iPhone 16 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-iPnXR-NB,iPhone XR,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-iph7/8P-NB,iPhone 7/8P,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-iPhn7/8G-NB,iPhone 7/8G,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i14-NB,iPhone 14,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i14PM-NB,iPhone 14 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i11PM-NB,iPhone 11 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-iPnX-NB,iPhone X,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Navy Blue Magsafe Cover & Case for iPhone (All Models),WM-i12PM-NB,iPhone 12 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
